x,z,u_x,u_y,u_z,b_x,b_y,b_z,sigma,phi,target_jx,target_jy,target_jz
1.8750000000000000e-01,0.0000000000000000e+00,-3.7500000000000068e-03,0.0000000000000000e+00,-5.9990609826208914e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0468750000000000e+00,2.6367187499999997e-03,3.4935520989724980e-02,0.0000000000000000e+00,-0.0000000000000000e+00
2.0312500000000000e-01,0.0000000000000000e+00,-3.7500000000000068e-03,0.0000000000000000e+00,-6.6855988933571895e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0507812500000000e+00,2.4938964843749995e-03,3.7458928356454445e-02,0.0000000000000000e+00,-0.0000000000000000e+00
2.1875000000000000e-01,0.0000000000000000e+00,-3.7500000000000068e-03,0.0000000000000000e+00,-7.3465287354094449e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0546875000000000e+00,2.3583984374999996e-03,3.9892093883758584e-02,0.0000000000000000e+00,-0.0000000000000000e+00
2.3437500000000000e-01,0.0000000000000000e+00,-3.7500000000000068e-03,0.0000000000000000e+00,-7.9807496779216516e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0585937500000000e+00,2.2302246093749999e-03,4.2229155862761991e-02,0.0000000000000000e+00,-0.0000000000000000e+00
2.5000000000000000e-01,0.0000000000000000e+00,-3.7499999999999999e-03,0.0000000000000000e+00,-8.5872315544599544e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0625000000000000e+00,2.1093749999999997e-03,4.4464484106454816e-02,0.0000000000000000e+00,-0.0000000000000000e+00
2.6562500000000000e-01,0.0000000000000000e+00,-3.7500000000000068e-03,0.0000000000000000e+00,-9.1650167485406876e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0664062500000000e+00,1.9958496093749997e-03,4.6592693513306360e-02,0.0000000000000000e+00,-0.0000000000000000e+00
2.8125000000000000e-01,0.0000000000000000e+00,-3.7499999999999929e-03,0.0000000000000000e+00,-9.7132218999582808e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0703125000000000e+00,1.8896484375000001e-03,4.8608657040446389e-02,0.0000000000000000e+00,-0.0000000000000000e+00
2.9687500000000000e-01,0.0000000000000000e+00,-3.7499999999999999e-03,0.0000000000000000e+00,-1.0231039429200976e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0742187500000000e+00,1.7907714843749998e-03,5.0507518055160454e-02,0.0000000000000000e+00,-0.0000000000000000e+00
3.1250000000000000e-01,0.0000000000000000e+00,-3.7499999999999999e-03,0.0000000000000000e+00,-1.0717738877668073e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0781250000000000e+00,1.6992187499999998e-03,5.2284702034943557e-02,0.0000000000000000e+00,-0.0000000000000000e+00
3.2812500000000000e-01,0.0000000000000000e+00,-3.7499999999999964e-03,0.0000000000000000e+00,-1.1172668061831153e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0820312500000000e+00,1.6149902343750001e-03,5.3935927587925460e-02,0.0000000000000000e+00,-0.0000000000000000e+00
3.4375000000000000e-01,0.0000000000000000e+00,-3.7500000000000068e-03,0.0000000000000000e+00,-1.1595254039912224e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0859375000000000e+00,1.5380859374999997e-03,5.5457216767118733e-02,0.0000000000000000e+00,-0.0000000000000000e+00
3.5937500000000000e-01,0.0000000000000000e+00,-3.7499999999999999e-03,0.0000000000000000e+00,-1.1985003890082649e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0898437500000000e+00,1.4685058593749997e-03,5.6844904653641545e-02,0.0000000000000000e+00,-0.0000000000000000e+00
3.7500000000000000e-01,0.0000000000000000e+00,-3.7500000000000033e-03,0.0000000000000000e+00,-1.2341505299617859e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0937500000000000e+00,1.4062499999999999e-03,5.8095648185828137e-02,0.0000000000000000e+00,-0.0000000000000000e+00
3.9062500000000000e-01,0.0000000000000000e+00,-3.7500000000000068e-03,0.0000000000000000e+00,-1.2664426964872823e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0976562500000000e+00,1.3513183593749996e-03,5.9206434212957258e-02,0.0000000000000000e+00,-0.0000000000000000e+00
4.0625000000000000e-01,0.0000000000000000e+00,-3.7499999999999929e-03,0.0000000000000000e+00,-1.2953518802370771e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.1015625000000000e+00,1.3037109374999995e-03,6.0174586754196208e-02,0.0000000000000000e+00,-0.0000000000000000e+00
4.2187500000000000e-01,0.0000000000000000e+00,-3.7500000000000033e-03,0.0000000000000000e+00,-1.3208611971722515e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.1054687500000000e+00,1.2634277343749997e-03,6.0997773445272990e-02,0.0000000000000000e+00,-0.0000000000000000e+00
4.3750000000000000e-01,0.0000000000000000e+00,-3.7500000000000033e-03,0.0000000000000000e+00,-1.3429618711514629e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.1093750000000000e+00,1.2304687499999998e-03,6.1674011157346172e-02,0.0000000000000000e+00,-0.0000000000000000e+00
4.5312500000000000e-01,0.0000000000000000e+00,-3.7500000000000033e-03,0.0000000000000000e+00,-1.3616531989720352e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.1132812500000000e+00,1.2048339843749997e-03,6.2201670774535943e-02,0.0000000000000000e+00,-0.0000000000000000e+00
4.6875000000000000e-01,0.0000000000000000e+00,-3.7499999999999999e-03,0.0000000000000000e+00,-1.3769424970597362e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.1171875000000000e+00,1.1865234374999999e-03,6.2579481118606950e-02,0.0000000000000000e+00,-0.0000000000000000e+00
4.8437500000000000e-01,0.0000000000000000e+00,-3.7499999999999999e-03,0.0000000000000000e+00,-1.3888450300439982e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.1210937500000000e+00,1.1755371093749999e-03,6.2806532011348046e-02,0.0000000000000000e+00,-0.0000000000000000e+00
5.0000000000000000e-01,0.0000000000000000e+00,-3.7500000000000033e-03,0.0000000000000000e+00,-1.3973839214949185e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.1250000000000000e+00,1.1718749999999997e-03,6.2882276467271334e-02,0.0000000000000000e+00,-0.0000000000000000e+00
5.1562500000000000e-01,0.0000000000000000e+00,-3.7499999999999999e-03,0.0000000000000000e+00,-1.4025900471371195e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.1289062500000000e+00,1.1755371093749999e-03,6.2806532011348046e-02,0.0000000000000000e+00,-0.0000000000000000e+00
5.3125000000000000e-01,0.0000000000000000e+00,-3.7499999999999999e-03,0.0000000000000000e+00,-1.4045019108933946e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.1328125000000000e+00,1.1865234374999999e-03,6.2579481118606950e-02,0.0000000000000000e+00,-0.0000000000000000e+00
5.4687500000000000e-01,0.0000000000000000e+00,-3.7500000000000033e-03,0.0000000000000000e+00,-1.4031655041478694e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.1367187500000000e+00,1.2048339843749997e-03,6.2201670774535943e-02,0.0000000000000000e+00,-0.0000000000000000e+00
5.6250000000000000e-01,0.0000000000000000e+00,-3.7500000000000033e-03,0.0000000000000000e+00,-1.3986341486541628e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.1406250000000000e+00,1.2304687499999998e-03,6.1674011157346172e-02,0.0000000000000000e+00,-0.0000000000000000e+00
5.7812500000000000e-01,0.0000000000000000e+00,-3.7500000000000033e-03,0.0000000000000000e+00,-1.3909683235486248e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.1445312500000000e+00,1.2634277343749997e-03,6.0997773445272990e-02,0.0000000000000000e+00,-0.0000000000000000e+00
5.9375000000000000e-01,0.0000000000000000e+00,-3.7499999999999929e-03,0.0000000000000000e+00,-1.3802354769620943e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.1484375000000000e+00,1.3037109374999995e-03,6.0174586754196208e-02,0.0000000000000000e+00,-0.0000000000000000e+00
6.0937500000000000e-01,0.0000000000000000e+00,-3.7500000000000068e-03,0.0000000000000000e+00,-1.3665098227556832e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.1523437500000000e+00,1.3513183593749996e-03,5.9206434212957258e-02,0.0000000000000000e+00,-0.0000000000000000e+00
6.2500000000000000e-01,0.0000000000000000e+00,-3.7500000000000033e-03,0.0000000000000000e+00,-1.3498721229368247e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.1562500000000000e+00,1.4062499999999999e-03,5.8095648185828137e-02,0.0000000000000000e+00,-0.0000000000000000e+00
6.4062500000000000e-01,0.0000000000000000e+00,-3.7499999999999999e-03,0.0000000000000000e+00,-1.3304094563410971e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.1601562500000000e+00,1.4685058593749997e-03,5.6844904653641545e-02,0.0000000000000000e+00,-0.0000000000000000e+00
6.5625000000000000e-01,0.0000000000000000e+00,-3.7500000000000068e-03,0.0000000000000000e+00,-1.3082149741931547e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.1640625000000000e+00,1.5380859374999997e-03,5.5457216767118754e-02,0.0000000000000000e+00,-0.0000000000000000e+00
6.7187500000000000e-01,0.0000000000000000e+00,-3.7499999999999964e-03,0.0000000000000000e+00,-1.2833876431863643e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.1679687500000000e+00,1.6149902343750001e-03,5.3935927587925460e-02,0.0000000000000000e+00,-0.0000000000000000e+00
6.8750000000000000e-01,0.0000000000000000e+00,-3.7499999999999999e-03,0.0000000000000000e+00,-1.2560319767454626e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.1718750000000000e+00,1.6992187499999998e-03,5.2284702034943571e-02,0.0000000000000000e+00,-0.0000000000000000e+00
7.0312500000000000e-01,0.0000000000000000e+00,-3.7499999999999999e-03,0.0000000000000000e+00,-1.2262577551595580e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.1757812500000000e+00,1.7907714843749998e-03,5.0507518055160454e-02,0.0000000000000000e+00,-0.0000000000000000e+00
7.1875000000000000e-01,0.0000000000000000e+00,-3.7499999999999929e-03,0.0000000000000000e+00,-1.1941797352942282e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.1796875000000000e+00,1.8896484375000001e-03,4.8608657040446396e-02,0.0000000000000000e+00,-0.0000000000000000e+00
7.3437500000000000e-01,0.0000000000000000e+00,-3.7500000000000068e-03,0.0000000000000000e+00,-1.1599173506110911e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.1835937500000000e+00,1.9958496093749997e-03,4.6592693513306360e-02,0.0000000000000000e+00,-0.0000000000000000e+00
7.5000000000000000e-01,0.0000000000000000e+00,-3.7499999999999999e-03,0.0000000000000000e+00,-1.1235944022411543e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.1875000000000000e+00,2.1093749999999997e-03,4.4464484106454816e-02,0.0000000000000000e+00,-0.0000000000000000e+00
7.6562500000000000e-01,0.0000000000000000e+00,-3.7500000000000068e-03,0.0000000000000000e+00,-1.0853387418743502e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.1914062500000000e+00,2.2302246093749999e-03,4.2229155862762012e-02,0.0000000000000000e+00,-0.0000000000000000e+00
7.8125000000000000e-01,0.0000000000000000e+00,-3.7500000000000068e-03,0.0000000000000000e+00,-1.0452819472420093e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.1953125000000000e+00,2.3583984374999996e-03,3.9892093883758584e-02,0.0000000000000000e+00,-0.0000000000000000e+00
7.9687500000000000e-01,0.0000000000000000e+00,-3.7500000000000068e-03,0.0000000000000000e+00,-1.0035589909814610e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.1992187500000000e+00,2.4938964843749995e-03,3.7458928356454452e-02,0.0000000000000000e+00,-0.0000000000000000e+00
8.1250000000000000e-01,0.0000000000000000e+00,-3.7500000000000068e-03,0.0000000000000000e+00,-9.6030790368259681e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.2031250000000000e+00,2.6367187499999997e-03,3.4935520989724980e-02,0.0000000000000000e+00,-0.0000000000000000e+00
8.2812500000000000e-01,0.0000000000000000e+00,-3.7499999999999999e-03,0.0000000000000000e+00,-9.1566943192499216e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.2070312500000000e+00,2.7868652343749994e-03,3.2327950892941042e-02,0.0000000000000000e+00,-0.0000000000000000e+00
8.4375000000000000e-01,0.0000000000000000e+00,-3.7499999999999790e-03,0.0000000000000000e+00,-8.6978669212102074e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.2109375000000000e+00,2.9443359374999993e-03,2.9642499930861942e-02,0.0000000000000000e+00,-0.0000000000000000e+00
8.5937500000000000e-01,0.0000000000000000e+00,-3.7499999999999999e-03,0.0000000000000000e+00,-8.2280482098542607e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.2148437500000000e+00,3.1091308593749994e-03,2.6885637590073022e-02,0.0000000000000000e+00,-0.0000000000000000e+00
8.7500000000000000e-01,0.0000000000000000e+00,-3.7500000000000068e-03,0.0000000000000000e+00,-7.7487062345489074e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.2187500000000000e+00,3.2812499999999999e-03,2.4064005393425909e-02,0.0000000000000000e+00,-0.0000000000000000e+00
8.9062500000000000e-01,0.0000000000000000e+00,-3.7500000000000068e-03,0.0000000000000000e+00,-7.2613221888236388e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.2226562500000000e+00,3.4606933593749997e-03,2.1184400900028107e-02,0.0000000000000000e+00,-0.0000000000000000e+00
9.0625000000000000e-01,0.0000000000000000e+00,-3.7500000000000068e-03,0.0000000000000000e+00,-6.7673868633024662e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.2265625000000000e+00,3.6474609374999999e-03,1.8253761329327736e-02,0.0000000000000000e+00,-0.0000000000000000e+00
9.2187500000000000e-01,0.0000000000000000e+00,-3.7499999999999999e-03,0.0000000000000000e+00,-6.2683970978401182e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.2304687500000000e+00,3.8415527343749994e-03,1.5279146848744376e-02,0.0000000000000000e+00,-0.0000000000000000e+00
9.3750000000000000e-01,0.0000000000000000e+00,-3.7499999999999652e-03,0.0000000000000000e+00,-5.7658522410343705e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.2343750000000000e+00,4.0429687499999988e-03,1.2267723565107190e-02,0.0000000000000000e+00,-0.0000000000000000e+00
9.5312500000000000e-01,0.0000000000000000e+00,-3.7499999999999999e-03,0.0000000000000000e+00,-5.2612506252241713e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.2382812500000000e+00,4.2517089843749998e-03,9.2267462608759555e-03,0.0000000000000000e+00,-0.0000000000000000e+00
9.6875000000000000e-01,0.0000000000000000e+00,-3.7500000000000033e-03,0.0000000000000000e+00,-4.7560860650032195e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.2421875000000000e+00,4.4677734374999993e-03,6.1635409167347752e-03,0.0000000000000000e+00,-0.0000000000000000e+00
9.8437500000000000e-01,0.0000000000000000e+00,-3.7500000000000033e-03,0.0000000000000000e+00,-4.2518443871799819e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.2460937500000000e+00,4.6911621093749991e-03,3.0854870626627279e-03,0.0000000000000000e+00,-0.0000000000000000e+00
1.0000000000000000e+00,0.0000000000000000e+00,-3.7500000000000033e-03,0.0000000000000000e+00,-3.7500000000000051e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.2500000000000000e+00,4.9218749999999992e-03,7.7008578598742777e-18,0.0000000000000000e+00,-0.0000000000000000e+00
0.0000000000000000e+00,1.5625000000000000e-02,-4.4023805904536807e-03,0.0000000000000000e+00,3.7500000000000033e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0023437500000001e+00,4.6911621093749991e-03,0.0000000000000000e+00,0.0000000000000000e+00,-3.0854870626627314e-03
1.5625000000000000e-02,1.5625000000000000e-02,-4.3975485986149686e-03,0.0000000000000000e+00,2.8680764013850292e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0062500000000001e+00,4.4604492187499990e-03,3.0780627969252544e-03,0.0000000000000000e+00,-3.0780627969252544e-03
3.1250000000000000e-02,1.5625000000000000e-02,-4.3918374877611162e-03,0.0000000000000000e+00,1.9939024271390495e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0101562500000001e+00,4.2370605468749992e-03,6.1487102709662563e-03,0.0000000000000000e+00,-3.0669353411722639e-03
4.6875000000000000e-02,1.5625000000000000e-02,-4.3843488622929035e-03,0.0000000000000000e+00,1.1292122393772291e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0140625000000001e+00,4.0209960937499997e-03,9.2045449634010883e-03,0.0000000000000000e+00,-3.0484193695505795e-03
6.2500000000000000e-02,1.5625000000000000e-02,-4.3751141395782355e-03,0.0000000000000000e+00,2.7570461837699966e-04,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0179687500000001e+00,3.8122558593750001e-03,1.2238205100796167e-02,0.0000000000000000e+00,-3.0225594886576466e-03
7.8125000000000000e-02,1.5625000000000000e-02,-4.3641685849447314e-03,0.0000000000000000e+00,-5.6496070003993941e-04,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0218750000000001e+00,3.6108398437499994e-03,1.5242382330163262e-02,0.0000000000000000e+00,-2.9894179972115940e-03
9.3750000000000000e-02,1.5625000000000000e-02,-4.3515512018353483e-03,0.0000000000000000e+00,-1.3911665720754271e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0257812500000001e+00,3.4167480468749998e-03,1.8209839325421980e-02,0.0000000000000000e+00,-2.9490747359681687e-03
1.0937500000000000e-01,1.5625000000000000e-02,-4.3373046142039092e-03,0.0000000000000000e+00,-2.2013418712296716e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0296875000000001e+00,3.2299804687499997e-03,2.1133427222752212e-02,0.0000000000000000e+00,-2.9016268953773565e-03
1.2500000000000000e-01,1.5625000000000000e-02,-4.3214749414677124e-03,0.0000000000000000e+00,-2.9939647843587524e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0335937500000001e+00,3.0505371093749998e-03,2.4006102842833228e-02,0.0000000000000000e+00,-2.8471887814430774e-03
1.4062500000000000e-01,1.5625000000000000e-02,-4.3041116663494012e-03,0.0000000000000000e+00,-3.7675659719227936e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0375000000000001e+00,2.8784179687499994e-03,2.6820945658479589e-02,0.0000000000000000e+00,-2.7858915403500203e-03
1.5625000000000000e-01,1.5625000000000000e-02,-4.2852674959540224e-03,0.0000000000000000e+00,-4.5207315861778919e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0414062500000001e+00,2.7136230468750001e-03,2.9571174466797287e-02,0.0000000000000000e+00,-2.7178828425209779e-03
1.7187500000000000e-01,1.5625000000000000e-02,-4.2649982164402701e-03,0.0000000000000000e+00,-5.2521061414219387e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0453125000000001e+00,2.5561523437499993e-03,3.2250163725695495e-02,0.0000000000000000e+00,-2.6433265268658857e-03
1.8750000000000000e-01,1.5625000000000000e-02,-4.2433625416570695e-03,0.0000000000000000e+00,-5.9603952307723685e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0492187500000001e+00,2.4060058593749997e-03,3.4851459515397781e-02,0.0000000000000000e+00,-2.5624022060795199e-03
2.0312500000000000e-01,1.5625000000000000e-02,-4.2204219561278976e-03,0.0000000000000000e+00,-6.6443680843323791e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0531250000000001e+00,2.2631835937499995e-03,3.7368795086500158e-02,0.0000000000000000e+00,-2.4753048339387733e-03
2.1875000000000000e-01,1.5625000000000000e-02,-4.1962405527756303e-03,0.0000000000000000e+00,-7.3028599639897787e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0570312500000001e+00,2.1276855468749995e-03,3.9796105957119271e-02,0.0000000000000000e+00,-2.3822442356419664e-03
2.3437500000000000e-01,1.5625000000000000e-02,-4.1708848657900565e-03,0.0000000000000000e+00,-7.9347743904884770e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0609375000000001e+00,1.9995117187499999e-03,4.2127544522760477e-02,0.0000000000000000e+00,-2.2834446023215563e-03
2.5000000000000000e-01,1.5625000000000000e-02,-4.1444236990486934e-03,0.0000000000000000e+00,-8.5390851988165518e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0648437500000001e+00,1.8786621093749996e-03,4.4357494143709264e-02,0.0000000000000000e+00,-2.1791439509480336e-03
2.6562500000000000e-01,1.5625000000000000e-02,-4.1169279505090519e-03,0.0000000000000000e+00,-9.1148384183645029e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0687500000000001e+00,1.7651367187499997e-03,4.6480582676008242e-02,0.0000000000000000e+00,-2.0695935509262020e-03
2.8125000000000000e-01,1.5625000000000000e-02,-4.0884704329969919e-03,0.0000000000000000e+00,-9.6611539747233788e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0726562500000001e+00,1.6589355468750000e-03,4.8491695413422499e-02,0.0000000000000000e+00,-1.9550573187651944e-03
2.9687500000000000e-01,1.5625000000000000e-02,-4.0591256918213045e-03,0.0000000000000000e+00,-1.0177227210412752e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0765625000000001e+00,1.5600585937499997e-03,5.0385987409214926e-02,0.0000000000000000e+00,-1.8358111822804959e-03
3.1250000000000000e-01,1.5625000000000000e-02,-4.0289698196493686e-03,0.0000000000000000e+00,-1.0662330222252454e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0804687500000001e+00,1.4685058593749997e-03,5.2158895148047314e-02,0.0000000000000000e+00,-1.7121424158596209e-03
3.2812500000000000e-01,1.5625000000000000e-02,-3.9980802690819531e-03,0.0000000000000000e+00,-1.1115813013518938e-02,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0843750000000001e+00,1.3842773437500000e-03,5.3806147539888403e-02,0.0000000000000000e+00,-1.5843489483929607e-03
